# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 0.50 degrees
# Total Points: 161 x 161 = 25921
# Timestamp: 20260204_125453
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-40.00,-40.00,0.00,-0.00,-0.00,1977.00,507.49,373.09,1309.71,1957.81,2158.00
-40.00,-39.50,0.00,0.00,-0.00,1981.43,485.94,370.37,1315.91,1961.13,2158.00
-40.00,-39.00,0.00,-0.00,-0.00,1986.14,464.15,367.64,1322.16,1964.66,2158.00
-40.00,-38.50,0.00,0.00,0.00,1991.14,442.10,364.88,1328.45,1968.41,2158.00
-40.00,-38.00,0.00,0.00,-0.00,1996.42,419.78,362.11,1334.78,1972.39,2158.00
-40.00,-37.50,0.00,0.00,-0.00,2001.99,397.18,359.32,1341.16,1976.59,2158.00
-40.00,-37.00,0.00,0.00,-0.00,2007.87,374.31,356.50,1347.58,1981.03,2158.00
-40.00,-36.50,0.00,0.00,-0.00,2014.05,351.14,353.67,1354.05,1985.71,2158.00
-40.00,-36.00,0.00,0.00,0.00,2020.55,327.67,350.81,1360.56,1990.64,2158.00
-40.00,-35.50,0.00,0.00,0.00,2027.37,303.88,347.94,1367.13,1995.82,2158.00
-40.00,-35.00,0.00,0.00,0.00,2034.52,279.78,345.04,1373.75,2001.26,2158.00
-40.00,-34.50,0.00,0.00,-0.00,2042.01,255.35,342.11,1380.43,2006.97,2158.00
-40.00,-34.00,0.00,-0.00,-0.00,2049.84,230.57,339.16,1387.15,2012.95,2158.00
-40.00,-33.50,0.00,0.00,-0.00,2058.02,205.44,336.19,1393.94,2019.22,2158.00
-40.00,-33.00,0.00,-0.00,-0.00,2066.57,179.95,333.19,1400.78,2025.78,2158.00
-40.00,-32.50,0.00,0.00,-0.00,2075.48,154.07,330.17,1407.69,2032.65,2158.00
-40.00,-32.00,0.00,0.00,-0.00,2084.78,127.81,327.12,1414.65,2039.82,2158.00
-40.00,-31.50,0.00,0.00,0.00,2094.47,101.15,324.04,1421.68,2047.31,2158.00
-40.00,-31.00,0.00,-0.00,-0.00,2104.57,74.07,320.93,1428.78,2055.14,2158.00
-40.00,-30.50,0.00,0.00,-0.00,2115.07,46.57,317.79,1435.95,2063.30,2158.00
-40.00,-30.00,0.00,0.00,0.00,2126.01,18.61,314.62,1443.18,2071.82,2158.00
-40.00,-29.50,0.00,0.00,5.91,2127.72,-0.00,310.70,1452.12,2073.59,2158.00
-40.00,-29.00,0.00,0.00,23.04,2111.35,-0.00,305.42,1464.15,2061.97,2158.00
-40.00,-28.50,0.00,0.00,40.01,2095.39,-0.00,300.15,1476.16,2050.55,2158.00
-40.00,-28.00,0.00,0.00,56.82,2079.83,0.00,294.90,1488.12,2039.31,2158.00
