# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 1.00 degrees
# Total Points: 81 x 81 = 6561
# Timestamp: 20260204_100304
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-40.00,-40.00,0.00,-0.00,-0.00,1977.00,507.49,373.09,1309.71,1957.81,2158.00
-40.00,-39.00,0.00,-0.00,-0.00,1986.14,464.15,367.64,1322.16,1964.66,2158.00
-40.00,-38.00,0.00,0.00,-0.00,1996.42,419.78,362.11,1334.78,1972.39,2158.00
-40.00,-37.00,0.00,0.00,-0.00,2007.87,374.31,356.50,1347.58,1981.03,2158.00
-40.00,-36.00,0.00,0.00,0.00,2020.55,327.67,350.81,1360.56,1990.64,2158.00
-40.00,-35.00,0.00,0.00,0.00,2034.52,279.78,345.04,1373.75,2001.26,2158.00
-40.00,-34.00,0.00,-0.00,-0.00,2049.84,230.57,339.16,1387.15,2012.95,2158.00
-40.00,-33.00,0.00,-0.00,-0.00,2066.57,179.95,333.19,1400.78,2025.78,2158.00
-40.00,-32.00,0.00,0.00,-0.00,2084.78,127.81,327.12,1414.65,2039.82,2158.00
-40.00,-31.00,0.00,-0.00,-0.00,2104.57,74.07,320.93,1428.78,2055.14,2158.00
-40.00,-30.00,0.00,0.00,0.00,2126.01,18.61,314.62,1443.18,2071.82,2158.00
-40.00,-29.00,0.00,0.00,23.04,2111.35,-0.00,305.42,1464.15,2061.97,2158.00
-40.00,-28.00,0.00,0.00,56.82,2079.83,0.00,294.90,1488.12,2039.31,2158.00
-40.00,-27.00,0.00,-0.00,89.97,2049.90,-0.00,284.43,1511.96,2017.41,2158.00
-40.00,-26.00,0.00,-0.00,122.54,2021.48,-0.00,274.02,1535.68,1996.24,2158.00
-40.00,-25.00,0.00,0.00,154.56,1994.53,-0.00,263.66,1559.30,1975.81,2158.00
-40.00,-24.00,0.00,-0.00,186.06,1968.98,0.00,253.33,1582.84,1956.10,2158.00
-40.00,-23.00,0.00,-0.00,217.08,1944.80,-0.00,243.03,1606.30,1937.10,2158.00
-40.00,-22.00,0.00,-0.00,247.65,1921.93,0.00,232.75,1629.71,1918.80,2158.00
-40.00,-21.00,0.00,0.00,277.78,1900.34,0.00,222.50,1653.07,1901.20,2158.00
-40.00,-20.00,0.00,-0.00,307.52,1879.99,-0.00,212.25,1676.41,1884.30,2158.00
-40.00,-19.00,0.00,0.00,336.88,1860.83,0.00,202.02,1699.74,1868.08,2158.00
-40.00,-18.00,0.00,0.00,365.89,1842.84,0.00,191.78,1723.06,1852.55,2158.00
-40.00,-17.00,0.00,0.00,394.58,1825.99,-0.00,181.53,1746.40,1837.70,2158.00
-40.00,-16.00,0.00,0.00,422.96,1810.24,0.00,171.28,1769.77,1823.54,2158.00
-40.00,-15.00,0.00,-0.00,451.06,1795.57,-0.00,161.00,1793.18,1810.05,2158.00
-40.00,-14.00,0.00,0.00,478.90,1781.96,0.00,150.70,1816.65,1797.24,2158.00
-40.00,-13.00,0.00,-0.00,506.50,1769.38,0.00,140.37,1840.20,1785.12,2158.00
-40.00,-12.00,0.00,-0.00,533.88,1757.81,0.00,129.99,1863.83,1773.69,2158.00
-40.00,-11.00,0.00,0.00,561.06,1747.24,-0.00,119.58,1887.56,1762.94,2158.00
-40.00,-10.00,0.00,0.00,588.05,1737.64,-0.00,109.11,1911.41,1752.90,2158.00
-40.00,-9.00,0.00,0.00,614.88,1729.01,0.00,98.58,1935.40,1743.55,2158.00
-40.00,-8.00,0.00,-0.00,641.56,1721.32,-0.00,87.99,1959.53,1734.92,2158.00
-40.00,-7.00,0.00,0.00,668.11,1714.57,0.00,77.33,1983.83,1727.00,2158.00
-40.00,-6.00,0.00,-0.00,694.55,1708.75,-0.00,66.58,2008.31,1719.82,2158.00
-40.00,-5.00,0.00,0.00,720.90,1703.84,0.00,55.75,2032.98,1713.37,2158.00
-40.00,-4.00,0.00,-0.00,747.16,1699.84,-0.00,44.82,2057.88,1707.69,2158.00
-40.00,-3.00,0.00,0.00,773.36,1696.75,-0.00,33.79,2083.01,1702.78,2158.00
-40.00,-2.00,0.00,0.00,799.51,1694.55,0.00,22.65,2108.39,1698.65,2158.00
-40.00,-1.00,0.00,-0.00,825.64,1693.25,0.00,11.39,2134.05,1695.33,2158.00
-40.00,0.00,0.00,-0.00,850.95,1690.26,-0.00,-0.00,2158.00,1690.26,2154.70
-40.00,1.00,0.00,11.31,866.57,1676.23,-0.00,-0.00,2158.00,1673.99,2112.18
-40.00,2.00,0.00,22.36,881.82,1663.59,0.00,0.00,2158.00,1658.90,2070.47
-40.00,3.00,0.00,33.17,896.74,1652.26,0.00,-0.00,2158.00,1644.95,2029.51
-40.00,4.00,0.00,43.75,911.34,1642.14,-0.00,-0.00,2158.00,1632.11,1989.28
-40.00,5.00,0.00,54.11,925.64,1633.19,0.00,0.00,2158.00,1620.33,1949.71
-40.00,6.00,0.00,64.26,939.66,1625.33,0.00,0.00,2158.00,1609.59,1910.78
-40.00,7.00,0.00,74.23,953.42,1618.51,0.00,0.00,2158.00,1599.85,1872.44
-40.00,8.00,0.00,84.01,966.92,1612.67,0.00,0.00,2158.00,1591.08,1834.66
-40.00,9.00,0.00,93.63,980.19,1607.77,-0.00,0.00,2158.00,1583.26,1797.40
-40.00,10.00,0.00,103.08,993.24,1603.76,0.00,0.00,2158.00,1576.37,1760.63
-40.00,11.00,0.00,112.39,1006.09,1600.61,0.00,0.00,2158.00,1570.38,1724.32
-40.00,12.00,0.00,121.55,1018.73,1598.28,-0.00,0.00,2158.00,1565.27,1688.44
-40.00,13.00,0.00,130.58,1031.20,1596.72,0.00,0.00,2158.00,1561.03,1652.96
-40.00,14.00,0.00,139.48,1043.49,1595.93,0.00,0.00,2158.00,1557.64,1617.85
-40.00,15.00,0.00,148.27,1055.62,1595.86,0.00,-0.00,2158.00,1555.08,1583.08
-40.00,16.00,0.00,156.95,1067.61,1596.49,0.00,0.00,2158.00,1553.34,1548.63
-40.00,17.00,0.00,165.53,1079.45,1597.79,-0.00,-0.00,2158.00,1552.40,1514.48
-40.00,18.00,0.00,174.02,1091.16,1599.75,0.00,0.00,2158.00,1552.27,1480.59
-40.00,19.00,0.00,182.41,1102.75,1602.35,-0.00,-0.00,2158.00,1552.92,1446.96
-40.00,20.00,0.00,190.73,1114.22,1605.57,0.00,0.00,2158.00,1554.36,1413.54
-40.00,21.00,0.00,198.96,1125.60,1609.39,-0.00,0.00,2158.00,1556.56,1380.32
-40.00,22.00,0.00,207.13,1136.87,1613.80,0.00,-0.00,2158.00,1559.54,1347.29
-40.00,23.00,0.00,215.24,1148.06,1618.79,-0.00,0.00,2158.00,1563.28,1314.41
-40.00,24.00,0.00,223.28,1159.17,1624.34,-0.00,0.00,2158.00,1567.79,1281.66
-40.00,25.00,0.00,231.28,1170.20,1630.44,0.00,-0.00,2158.00,1573.05,1249.04
-40.00,26.00,0.00,239.23,1181.17,1637.09,0.00,0.00,2158.00,1579.08,1216.50
-40.00,27.00,0.00,247.13,1192.08,1644.27,-0.00,-0.00,2158.00,1585.86,1184.04
-40.00,28.00,0.00,255.00,1202.94,1651.98,-0.00,0.00,2158.00,1593.41,1151.64
-40.00,29.00,0.00,262.83,1213.76,1660.22,0.00,-0.00,2158.00,1601.72,1119.27
-40.00,30.00,0.00,270.64,1224.54,1668.97,-0.00,-0.00,2158.00,1610.80,1086.92
