角度,执行AK,投影距离1.7m,,,,,,,,,,,,,,,,,
左投34°,PASS,,,,,,,,,,,,,,,,,,
左投35°,FAIL,toast：画面歪斜程度超过可调范围，请摆正机器再试一次,,,,,,,,,,,,,,,,,
右投30°,PASS,,,,,,,,,,,,,,,,,,
右投31°,FAIL,,,,,,,,,,,,,,,,,,
上投33°,PASS,,,,,,,,,,,,,,,,,,
上投34°,FAIL,,,,,,,,,,,,,,,,,,
下投32°,PASS,,,,,,,,,,,,,,,,,,
下投33°,FAIL,,,,,,,,,,,,,,,,,,
上投10°右投25°,PASS,,,,,,,,,,,,,,,,,,
上投10°右投26°,FAIL,,,,,,,,,,,,,,,,,,
上投10°左投30°,PASS,,,,,,,,,,,,,,,,,,
上投10°左投31°,FAIL,,,,,,,,,,,,,,,,,,
上投15°右投33°,PASS,,,,,,,,,,,,,,,,,,
上投15°右投34°,FAIL,,,,,,,,,,,,,,,,,,
上投15°左投27°,PASS,,,,,,,,,,,,,,,,,,
上投15°左投28°,FAIL,,,,,,,,,,,,,,,,,,
上投20°右投20°,PASS,,,,,,,,,,,,,,,,,,
上投20°右投21°,FAIL,,,,,,,,,,,,,,,,,,
上投20°左投26°,PASS,,,,,,,,,,,,,,,,,,
上投20°左投27°,FAIL,,,,,,,,,,,,,,,,,,
上投25°右投18°,PASS,,,,,,,,,,,,,,,,,,
上投25°右投19°,FAIL,,,,,,,,,,,,,,,,,,
上投25°左投20°,PASS,,,,,,,,,,,,,,,,,,
上投25°左投21°,FAIL,,,,,,,,,,,,,,,,,,
上投30°右投14°,PASS,,,,,,,,,,,,,,,,,,
上投30°右投15°,FAIL,,,,,,,,,,,,,,,,,,
上投30°左投19°,PASS,,,,,,,,,,,,,,,,,,
上投30°左投20°,FAIL,,,,,,,,,,,,,,,,,,
上投34°,FAIL,,,,,,,,,,,,,,,,,,
上投33°右投5°,PASS,,,,,,,,,,,,,,,,,,
上投33°右投6°,FAIL,,,,,,,,,,,,,,,,,,
上投33°左投14°,PASS,,,,,,,,,,,,,,,,,,
上投33°左投15°,FAIL,,,,,,,,,,,,,,,,,,
下投10°右投52°,PASS,,,,,,,,,,,,,,,,,,
下投10°右投53°,FAIL,,,,,,,,,,,,,,,,,,
下投10°左投45°,PASS,,,,,,,,,,,,,,,,,,
下投10°左投46°,FAIL,,,,,,,,,,,,,,,,,,
下投15°右投52°,PASS,,,,,,,,,,,,,,,,,,
下投15°右投53°,FAIL,,,,,,,,,,,,,,,,,,
下投15°左投46°,PASS,,,,,,,,,,,,,,,,,,
下投15°左投47°,FAIL,,,,,,,,,,,,,,,,,,
下投20°右投51°,PASS,,,,,,,,,,,,,,,,,,
下投20°右投52°,FAIL,,,,,,,,,,,,,,,,,,
下投20°左投41°,PASS,,,,,,,,,,,,,,,,,,
下投20°左投42°,FAIL,,,,,,,,,,,,,,,,,,
下投25°右投49°,PASS,,,,,,,,,,,,,,,,,,
下投25°右投50°,FAIL,,,,,,,,,,,,,,,,,,
下投25°左投44°,PASS,,,,,,,,,,,,,,,,,,
下投25°左投45°,FAIL,,,,,,,,,,,,,,,,,,
下投30°右投47°,PASS,,,,,,,,,,,,,,,,,,
下投30°右投48°,FAIL,,,,,,,,,,,,,,,,,,
下投30°左投46°,PASS,,,,,,,,,,,,,,,,,,
下投30°左投47°,FAIL,,,,,,,,,,,,,,,,,,
下投33°,FAIL,,,,,,,,,,,,,,,,,,
下投32°右投44°,PASS,,,,,,,,,,,,,,,,,,
下投32°右投45°,FAIL,,,,,,,,,,,,,,,,,,
下投32°左投46°,PASS,,,,,,,,,,,,,,,,,,
下投32°左投47°,FAIL,,,,,,,,,,,,,,,,,,
