VerticalAngle(Yaw),HorizontalAngle(Pitch),AngleDesc,"WriteCoords(TL_x,TL_y,TR_x,TR_y,BL_x,BL_y,BR_x,BR_y)","ReadCoords(TL_x,TL_y,TR_x,TR_y,BL_x,BL_y,BR_x,BR_y)",Result,ErrorCode,Delta,边界类型,象限
-36,-28,"Yaw-36, Pitch-28","0,53,2371,0,303,1527,2263,2158","0,53,2371,0,303,1527,2263,2158",PASS,1,0,Yaw极限边界,左上 (Left-Top)
-36,-27,"Yaw-36, Pitch-27","0,85,2340,0,292,1549,2242,2158","0,85,2340,0,292,1549,2242,2158",PASS,1,0,Yaw极限边界,左上 (Left-Top)
-36,-26,"Yaw-36, Pitch-26","0,115,2310,0,282,1572,2222,2158","0,115,2310,0,282,1572,2222,2158",PASS,1,0,Yaw极限边界,左上 (Left-Top)
-36,-25,"Yaw-36, Pitch-25","0,146,2281,0,271,1594,2202,2158","0,146,2281,0,271,1594,2202,2158",PASS,1,0,Yaw极限边界,左上 (Left-Top)
-36,-24,"Yaw-36, Pitch-24","0,176,2254,0,260,1616,2184,2158","0,176,2254,0,260,1616,2184,2158",PASS,1,0,Yaw极限边界,左上 (Left-Top)
-34,-36,"Yaw-34, Pitch-36","0,0,2457,290,368,1429,2312,2158","0,0,2457,290,368,1429,2312,2158",PASS,1,0,Pitch极限边界,左上 (Left-Top)
35,-28,"Yaw+35, Pitch-28","1475,0,3838,53,1575,2158,3529,1528","1475,0,3838,53,1575,2158,3529,1528",PASS,1,0,Yaw极限边界,右上 (Right-Top)
35,-27,"Yaw+35, Pitch-27","1507,0,3838,85,1596,2158,3540,1550","1507,0,3838,85,1596,2158,3540,1550",PASS,1,0,Yaw极限边界,右上 (Right-Top)
35,-26,"Yaw+35, Pitch-26","1537,0,3838,115,1617,2158,3551,1572","1537,0,3838,115,1617,2158,3551,1572",PASS,1,0,Yaw极限边界,右上 (Right-Top)
35,-25,"Yaw+35, Pitch-25","1565,0,3838,146,1636,2158,3562,1595","1565,0,3838,146,1636,2158,3562,1595",PASS,1,0,Yaw极限边界,右上 (Right-Top)
33,-37,"Yaw+33, Pitch-37","1398,332,3838,0,1533,2158,3457,1418","1398,332,3838,0,1533,2158,3457,1418",PASS,1,0,Pitch极限边界,右上 (Right-Top)
-30,1,"Yaw-30, Pitch+1","23,753,2316,0,0,2158,2324,2092","23,753,2316,0,0,2158,2324,2092",PASS,1,0,Yaw极限边界,左下 (Left-Bottom)
-9,35,"Yaw-9, Pitch+35","459,455,3324,0,0,1578,3838,1115","459,455,3324,0,0,1578,3838,1115",PASS,1,0,Pitch极限边界,左下 (Left-Bottom)
-8,35,"Yaw-8, Pitch+35","460,406,3328,0,0,1519,3838,1103","460,406,3328,0,0,1519,3838,1103",PASS,1,0,Pitch极限边界,左下 (Left-Bottom)
-7,35,"Yaw-7, Pitch+35","462,356,3331,0,0,1459,3838,1093","462,356,3331,0,0,1459,3838,1093",PASS,1,0,Pitch极限边界,左下 (Left-Bottom)
-6,35,"Yaw-6, Pitch+35","464,307,3335,0,0,1399,3838,1082","464,307,3335,0,0,1399,3838,1082",PASS,1,0,Pitch极限边界,左下 (Left-Bottom)
29,1,"Yaw+29, Pitch+1","1527,0,3814,751,1520,2092,3838,2158","1527,0,3814,751,1520,2092,3838,2158",PASS,1,0,Yaw极限边界,右下 (Right-Bottom)
5,35,"Yaw+5, Pitch+35","495,0,3366,302,0,1082,3838,1394","495,0,3366,302,0,1082,3838,1394",PASS,1,0,Pitch极限边界,右下 (Right-Bottom)
6,35,"Yaw+6, Pitch+35","498,0,3368,352,0,1092,3838,1454","498,0,3368,352,0,1092,3838,1454",PASS,1,0,Pitch极限边界,右下 (Right-Bottom)
7,35,"Yaw+7, Pitch+35","502,0,3369,401,0,1103,3838,1514","502,0,3369,401,0,1103,3838,1514",PASS,1,0,Pitch极限边界,右下 (Right-Bottom)
8,35,"Yaw+8, Pitch+35","506,0,3371,450,0,1115,3838,1574","506,0,3371,450,0,1115,3838,1574",PASS,1,0,Pitch极限边界,右下 (Right-Bottom)
