WriteCoords(TL_x,TL_y,TR_x,TR_y,BL_x,BL_y,BR_x,BR_y)	ErrorCode
175,175,2671,175,175,1579,3839,2159	1
175,175,2671,175,175,1929,3839,2159	1
175,175,2671,175,525,1579,3839,2159	1
175,175,2671,175,525,1929,3839,2159	1
175,175,2671,175,875,1579,3839,2159	1
175,175,2671,175,875,1929,3839,2159	1
175,175,2671,175,1225,1579,3839,2159	1
175,175,2671,175,1225,1929,3839,2159	1
175,175,2671,175,1519,1579,3839,2159	1
175,175,2671,175,1519,1929,3839,2159	1
175,175,2671,175,1869,1579,3839,2159	0
175,175,2671,175,1869,1929,3839,2159	0
175,175,2671,175,2219,1579,3839,2159	0
175,175,2671,175,2219,1929,3839,2159	0
175,175,2671,175,175,1061,3839,2159	0
175,175,2671,175,525,1061,3839,2159	0
175,175,2671,175,875,1061,3839,2159	0
175,175,2671,175,1225,1061,3839,2159	0
175,175,2671,175,1519,1061,3839,2159	0
175,175,2671,175,1869,1061,3839,2159	0
175,175,2671,175,2219,1061,3839,2159	0
175,175,2671,525,175,1579,3839,2159	1
175,175,2671,525,175,1929,3839,2159	1
175,175,2671,525,525,1579,3839,2159	1
175,175,2671,525,525,1929,3839,2159	1
175,175,2671,525,875,1579,3839,2159	1
175,175,2671,525,875,1929,3839,2159	1
175,175,2671,525,1225,1579,3839,2159	1
175,175,2671,525,1225,1929,3839,2159	1
175,175,2671,525,1519,1579,3839,2159	1
175,175,2671,525,1519,1929,3839,2159	1
175,175,2671,525,1869,1579,3839,2159	0
175,175,2671,525,1869,1929,3839,2159	0
175,175,2671,525,2219,1579,3839,2159	0
175,175,2671,525,2219,1929,3839,2159	0
175,175,2671,525,175,1061,3839,2159	0
175,175,2671,525,525,1061,3839,2159	0
175,175,2671,525,875,1061,3839,2159	0
175,175,2671,525,1225,1061,3839,2159	0
175,175,2671,525,1519,1061,3839,2159	0
175,175,2671,525,1869,1061,3839,2159	0
175,175,2671,525,2219,1061,3839,2159	0
175,175,3021,175,175,1579,3839,2159	1
175,175,3021,175,175,1929,3839,2159	1
