类型,角度组合,结果
单角度,左投30°,PASS
单角度,左投31°,FAIL
单角度,右投29°,PASS
单角度,右投30°,FAIL
单角度,上投40°,PASS
单角度,下投33°,PASS
单角度,下投5°,FAIL
组合角度,上投40°右投32°,PASS
组合角度,上投40°右投33°,FAIL
组合角度,上投40°左投33°,PASS
组合角度,上投40°左投34°,FAIL
组合角度,上投39°右投32°,PASS
组合角度,上投39°右投33°,FAIL
组合角度,上投39°左投33°,PASS
组合角度,上投39°左投34°,FAIL
组合角度,上投38°右投32°,PASS
组合角度,上投38°右投33°,FAIL
组合角度,上投38°左投33°,PASS
组合角度,上投38°左投34°,FAIL
组合角度,上投37°右投33°,PASS
组合角度,上投37°右投34°,FAIL
组合角度,上投37°左投33°,PASS
组合角度,上投37°左投34°,FAIL
组合角度,上投36°右投33°,PASS
组合角度,上投36°右投34°,FAIL
组合角度,上投36°左投34°,PASS
组合角度,上投36°左投35°,FAIL
组合角度,上投35°右投33°,PASS
组合角度,上投35°右投34°,FAIL
组合角度,上投35°左投34°,PASS
组合角度,上投35°左投35°,FAIL
组合角度,上投34°右投33°,PASS
组合角度,上投34°右投34°,FAIL
组合角度,上投34°左投34°,PASS
组合角度,上投34°左投35°,FAIL
组合角度,上投33°右投33°,PASS
组合角度,上投33°右投34°,FAIL
组合角度,上投33°左投34°,PASS
组合角度,上投33°左投35°,FAIL
组合角度,上投32°右投34°,PASS
组合角度,上投32°右投35°,FAIL
组合角度,上投32°左投35°,PASS
组合角度,上投32°左投36°,FAIL
组合角度,上投31°右投34°,PASS
组合角度,上投31°右投35°,FAIL
组合角度,上投31°左投35°,PASS
组合角度,上投31°左投36°,FAIL
组合角度,上投30°右投34°,PASS
组合角度,上投30°右投35°,FAIL
组合角度,上投30°左投35°,PASS
组合角度,上投30°左投36°,FAIL
组合角度,上投29°右投34°,PASS
组合角度,上投29°右投35°,FAIL
组合角度,上投29°左投35°,PASS
组合角度,上投29°左投36°,FAIL
组合角度,上投28°右投35°,PASS
组合角度,上投28°右投36°,FAIL
组合角度,上投28°左投36°,PASS
组合角度,上投28°左投37°,FAIL
组合角度,上投27°右投35°,PASS
组合角度,上投27°右投36°,FAIL
组合角度,上投27°左投36°,PASS
